message,count,symbols,fixed attribute values
"(8, 22, 42, 0)",1,"{(8, 42, 22)}","{(15, 11, 15)}"
"(8, 28, 5, 0)",1,"{(8, 28, 5)}","{(15, 5, 10)}"
"(8, 35, 5, 0)",1,"{(8, 35, 5)}","{(15, 5, 10)}"
"(8, 35, 8, 0)",3,"{(8, 35)}","{(15, '?', '?')}"
"(8, 35, 16, 0)",2,"{(8, 16, 35)}","{(15, 12, '?')}"
"(8, 35, 22, 0)",5,"{(8, 35, 22)}","{(15, '?', '?')}"
"(8, 35, 35, 0)",5,"{(8, 35)}","{(15, '?', '?')}"
"(8, 35, 41, 0)",1,"{(8, 41, 35)}","{(15, 14, 5)}"
"(8, 41, 5, 0)",6,"{(8, 41, 5)}","{('?', '?', '?')}"
"(8, 42, 5, 0)",6,"{(8, 42, 5)}","{('?', '?', '?')}"
"(8, 42, 22, 0)",1,"{(8, 42, 22)}","{(15, 11, 6)}"
"(8, 42, 42, 0)",3,"{(8, 42)}","{(15, 11, '?')}"
"(9, 5, 19, 0)",6,"{(9, 19, 5)}","{('?', '?', '?')}"
"(9, 10, 5, 0)",1,"{(9, 10, 5)}","{(10, '?', 5)}"
"(9, 12, 5, 0)",6,"{(9, 12, 5)}","{('?', '?', '?')}"
"(9, 12, 9, 0)",1,"{(9, 12)}","{(11, 6, 6)}"
"(9, 40, 5, 0)",1,"{(40, 9, 5)}","{(10, '?', 6)}"
"(10, 1, 19, 0)",3,"{(1, 10, 19)}","{(13, '?', '?')}"
"(10, 1, 40, 0)",2,"{(40, 1, 10)}","{(13, '?', 5)}"
"(10, 5, 19, 0)",4,"{(10, 19, 5)}","{(13, '?', '?')}"
"(10, 7, 10, 0)",1,"{(10, 7)}","{(13, 6, 1)}"
"(10, 7, 19, 0)",4,"{(10, 19, 7)}","{(13, '?', '?')}"
"(10, 7, 23, 0)",7,"{(10, 23, 7)}","{(13, '?', '?')}"
"(10, 7, 36, 0)",7,"{(10, 36, 7)}","{(13, '?', '?')}"
"(10, 9, 10, 0)",1,"{(9, 10)}","{(13, 7, 6)}"
"(10, 9, 19, 0)",3,"{(9, 10, 19)}","{(13, '?', '?')}"
"(10, 9, 40, 0)",1,"{(40, 9, 10)}","{(13, 9, 5)}"
"(10, 10, 5, 0)",1,"{(10, 5)}","{(13, 7, '?')}"
"(10, 10, 9, 0)",3,"{(9, 10)}","{(13, '?', '?')}"
"(10, 10, 10, 0)",12,"{(10,)}","{(13, '?', '?')}"
"(10, 10, 27, 0)",3,"{(10, 27)}","{(13, '?', '?')}"
"(10, 10, 39, 0)",4,"{(10, 39)}","{(13, '?', '?')}"
"(10, 10, 48, 0)",1,"{(48, 10)}","{(13, 10, 12)}"
"(10, 12, 12, 0)",1,"{(10, 12)}","{(13, 7, 8)}"
"(10, 14, 10, 0)",2,"{(10, 14)}","{(13, '?', 0)}"
"(10, 19, 2, 0)",1,"{(2, 10, 19)}","{(13, 4, 15)}"
"(10, 22, 19, 0)",1,"{(10, 19, 22)}","{(13, 11, 12)}"
"(10, 23, 10, 0)",7,"{(10, 23)}","{(13, '?', '?')}"
"(10, 23, 19, 0)",5,"{(10, 19, 23)}","{(13, '?', '?')}"
"(10, 27, 10, 0)",3,"{(10, 27)}","{(13, 6, '?')}"
"(10, 27, 19, 0)",3,"{(19, 10, 27)}","{(13, 6, '?')}"
"(10, 32, 10, 0)",4,"{(32, 10)}","{(13, '?', '?')}"
"(10, 32, 12, 0)",5,"{(32, 10, 12)}","{(13, '?', '?')}"
"(10, 32, 40, 0)",1,"{(32, 10, 40)}","{(13, 13, 5)}"
"(10, 34, 10, 0)",1,"{(10, 34)}","{(13, 13, 15)}"
"(10, 36, 19, 0)",4,"{(10, 19, 36)}","{(13, '?', '?')}"
"(10, 39, 10, 0)",4,"{(10, 39)}","{(13, '?', '?')}"
"(10, 41, 40, 0)",1,"{(40, 41, 10)}","{(13, 11, 8)}"
"(10, 42, 40, 0)",1,"{(40, 10, 42)}","{(13, 11, 8)}"
"(10, 43, 10, 0)",1,"{(10, 43)}","{(13, 6, 8)}"
"(10, 48, 10, 0)",2,"{(48, 10)}","{(13, '?', 1)}"
"(10, 48, 19, 0)",3,"{(48, 10, 19)}","{(13, '?', '?')}"
"(11, 1, 1, 0)",1,"{(1, 11)}","{(3, 9, 5)}"
"(11, 1, 5, 0)",1,"{(1, 11, 5)}","{(8, 9, 6)}"
"(11, 1, 16, 0)",13,"{(16, 1, 11)}","{('?', '?', '?')}"
"(11, 1, 29, 0)",3,"{(1, 11, 29)}","{('?', '?', '?')}"
"(11, 1, 51, 0)",5,"{(1, 11, 51)}","{('?', '?', '?')}"
"(11, 4, 4, 0)",15,"{(11, 4)}","{('?', '?', '?')}"
"(11, 4, 44, 0)",10,"{(11, 4, 44)}","{('?', '?', '?')}"
"(11, 5, 5, 0)",2,"{(11, 5)}","{('?', '?', '?')}"
"(11, 11, 1, 0)",5,"{(1, 11)}","{(4, '?', '?')}"
"(11, 11, 4, 0)",1,"{(11, 4)}","{(4, 9, 1)}"
"(11, 11, 5, 0)",1,"{(11, 5)}","{(5, '?', '?')}"
"(11, 11, 11, 0)",10,"{(11,)}","{('?', '?', '?')}"
"(11, 11, 16, 0)",3,"{(16, 11)}","{('?', '?', '?')}"
"(11, 11, 20, 0)",1,"{(11, 20)}","{(2, 4, 11)}"
"(11, 11, 21, 0)",7,"{(11, 21)}","{('?', '?', '?')}"
"(11, 11, 31, 0)",6,"{(11, 31)}","{('?', '?', '?')}"
"(11, 11, 33, 0)",3,"{(33, 11)}","{(2, '?', '?')}"
"(11, 11, 37, 0)",1,"{(11, 37)}","{(2, 7, 15)}"
"(11, 11, 46, 0)",1,"{(11, 46)}","{(5, 9, '?')}"
"(11, 11, 47, 0)",1,"{(11, 47)}","{(4, 9, 10)}"
"(11, 11, 50, 0)",17,"{(50, 11)}","{('?', '?', '?')}"
"(11, 16, 5, 0)",4,"{(16, 11, 5)}","{('?', '?', '?')}"
"(11, 16, 16, 0)",3,"{(16, 11)}","{('?', '?', '?')}"
"(11, 17, 5, 0)",2,"{(17, 11, 5)}","{('?', '?', '?')}"
