message,count,symbols,fixed attribute values
"(23, 2, 3, 0)",1,"{(2, 3, 23)}","{(4, '?', 4)}"
"(23, 2, 9, 0)",1,"{(9, 2, 23)}","{(4, 5, 4)}"
"(23, 2, 17, 0)",1,"{(17, 2, 23)}","{(4, 5, '?')}"
"(23, 4, 3, 0)",1,"{(3, 4, 23)}","{(2, '?', 2)}"
"(23, 4, 4, 0)",2,"{(4, 23)}","{('?', '?', 2)}"
"(23, 4, 6, 0)",1,"{(4, 6, 23)}","{(3, 4, 2)}"
"(23, 4, 7, 0)",1,"{(4, 7, 23)}","{(3, 2, 2)}"
"(23, 4, 8, 0)",1,"{(8, 4, 23)}","{(3, 5, 2)}"
"(23, 4, 14, 0)",2,"{(4, 14, 23)}","{('?', 3, 2)}"
"(23, 4, 17, 0)",2,"{(17, 4, 23)}","{(2, '?', 2)}"
"(23, 4, 19, 0)",1,"{(19, 4, 23)}","{(3, 5, 2)}"
"(23, 4, 20, 0)",1,"{(4, 20, 23)}","{(3, 4, 2)}"
"(23, 4, 21, 0)",1,"{(4, 21, 23)}","{(2, 7, 2)}"
"(23, 4, 27, 0)",2,"{(27, 4, 23)}","{(3, '?', 2)}"
"(23, 5, 2, 0)",1,"{(2, 5, 23)}","{(4, '?', 2)}"
"(23, 5, 17, 0)",1,"{(17, 5, 23)}","{(4, 1, 2)}"
"(23, 5, 27, 0)",2,"{(27, 5, 23)}","{(4, '?', 2)}"
"(23, 6, 4, 0)",1,"{(4, 6, 23)}","{(4, 3, 2)}"
"(23, 6, 6, 0)",1,"{(6, 23)}","{(4, 3, 2)}"
"(23, 6, 7, 0)",1,"{(7, 6, 23)}","{(2, 2, 2)}"
"(23, 6, 22, 0)",1,"{(22, 6, 23)}","{(2, 4, 2)}"
"(23, 7, 2, 0)",1,"{(2, 7, 23)}","{(4, 3, 4)}"
"(23, 7, 22, 0)",1,"{(7, 22, 23)}","{(4, 4, 4)}"
"(23, 8, 8, 0)",2,"{(8, 23)}","{('?', 0, 2)}"
"(23, 8, 17, 0)",1,"{(8, 17, 23)}","{(4, 0, 2)}"
"(23, 9, 9, 0)",1,"{(9, 23)}","{(4, 0, 4)}"
"(23, 10, 2, 0)",2,"{(10, 2, 23)}","{(4, '?', '?')}"
"(23, 10, 10, 0)",2,"{(10, 23)}","{(4, '?', '?')}"
"(23, 10, 14, 0)",3,"{(10, 14, 23)}","{(4, '?', '?')}"
"(23, 10, 17, 0)",2,"{(17, 10, 23)}","{(4, '?', '?')}"
"(23, 10, 26, 0)",1,"{(10, 26, 23)}","{(4, 5, 5)}"
"(23, 12, 3, 0)",1,"{(3, 12, 23)}","{(2, '?', 4)}"
"(23, 12, 22, 0)",3,"{(12, 22, 23)}","{('?', 4, 4)}"
"(23, 13, 8, 0)",1,"{(8, 13, 23)}","{(3, 0, 4)}"
"(23, 13, 9, 0)",1,"{(9, 13, 23)}","{(3, 0, 4)}"
"(23, 13, 13, 0)",2,"{(13, 23)}","{('?', 0, 4)}"
"(23, 13, 17, 0)",2,"{(17, 13, 23)}","{('?', 0, '?')}"
"(23, 13, 26, 0)",4,"{(26, 13, 23)}","{('?', 0, '?')}"
"(23, 14, 14, 0)",3,"{(14, 23)}","{(4, '?', '?')}"
"(23, 17, 17, 0)",1,"{(17, 23)}","{(4, 0, '?')}"
"(23, 20, 2, 0)",1,"{(2, 20, 23)}","{(4, 3, '?')}"
"(23, 20, 20, 0)",1,"{(20, 23)}","{(4, 3, '?')}"
"(23, 20, 22, 0)",3,"{(20, 22, 23)}","{('?', '?', '?')}"
"(23, 20, 23, 0)",3,"{(20, 23)}","{('?', '?', '?')}"
"(23, 21, 10, 0)",1,"{(10, 21, 23)}","{(2, '?', 5)}"
"(23, 21, 21, 0)",2,"{(21, 23)}","{(2, 7, '?')}"
"(23, 21, 26, 0)",4,"{(26, 21, 23)}","{('?', '?', 5)}"
"(23, 22, 14, 0)",3,"{(14, 22, 23)}","{(4, '?', '?')}"
"(23, 22, 22, 0)",4,"{(22, 23)}","{(2, '?', '?')}"
"(23, 23, 2, 0)",2,"{(2, 23)}","{('?', '?', '?')}"
"(23, 23, 3, 0)",1,"{(3, 23)}","{(3, '?', 4)}"
"(23, 23, 7, 0)",3,"{(7, 23)}","{('?', '?', 4)}"
"(23, 23, 9, 0)",3,"{(9, 23)}","{('?', '?', 4)}"
"(23, 23, 10, 0)",3,"{(10, 23)}","{('?', '?', '?')}"
"(23, 23, 12, 0)",1,"{(12, 23)}","{(2, '?', 4)}"
"(23, 23, 14, 0)",6,"{(14, 23)}","{('?', '?', '?')}"
"(23, 23, 17, 0)",6,"{(17, 23)}","{('?', '?', '?')}"
"(23, 23, 18, 0)",2,"{(18, 23)}","{(2, '?', '?')}"
"(23, 23, 20, 0)",4,"{(20, 23)}","{('?', '?', '?')}"
"(23, 23, 21, 0)",1,"{(21, 23)}","{(2, 7, 3)}"
"(23, 23, 22, 0)",2,"{(22, 23)}","{(3, '?', '?')}"
"(23, 23, 23, 0)",2,"{(23,)}","{(3, '?', '?')}"
"(23, 23, 26, 0)",7,"{(26, 23)}","{('?', '?', '?')}"
"(23, 26, 17, 0)",1,"{(17, 26, 23)}","{(4, 0, 1)}"
"(23, 27, 1, 0)",2,"{(1, 27, 23)}","{(4, '?', 1)}"
"(23, 27, 3, 0)",2,"{(3, 27, 23)}","{(3, '?', 4)}"
"(23, 27, 21, 0)",4,"{(27, 21, 23)}","{('?', '?', '?')}"
"(23, 27, 27, 0)",3,"{(27, 23)}","{('?', '?', '?')}"
"(24, 11, 11, 0)",7,"{(24, 11)}","{('?', '?', '?')}"
"(24, 13, 8, 0)",1,"{(24, 8, 13)}","{(5, 0, 7)}"
"(24, 13, 17, 0)",3,"{(24, 17, 13)}","{('?', 0, '?')}"
"(24, 17, 17, 0)",2,"{(24, 17)}","{(0, 0, '?')}"
"(24, 17, 26, 0)",2,"{(24, 17, 26)}","{(0, 0, '?')}"
"(24, 24, 4, 0)",2,"{(24, 4)}","{(1, 0, '?')}"
"(24, 24, 11, 0)",2,"{(24, 11)}","{('?', 1, 0)}"
"(24, 24, 13, 0)",2,"{(24, 13)}","{('?', 0, 0)}"
"(24, 24, 16, 0)",1,"{(24, 16)}","{(1, 0, 0)}"
"(24, 24, 24, 0)",5,"{(24,)}","{(1, '?', '?')}"
"(26, 26, 26, 0)",3,"{(26,)}","{('?', '?', '?')}"
"(27, 1, 1, 0)",4,"{(1, 27)}","{('?', '?', 3)}"
"(27, 1, 2, 0)",1,"{(1, 2, 27)}","{(0, 6, 3)}"
"(27, 3, 3, 0)",1,"{(3, 27)}","{('?', 7, 4)}"
"(27, 10, 1, 0)",4,"{(1, 10, 27)}","{('?', '?', '?')}"
"(27, 10, 10, 0)",2,"{(10, 27)}","{('?', '?', '?')}"
"(27, 12, 3, 0)",1,"{(3, 27, 12)}","{(7, 7, 4)}"
"(27, 15, 1, 0)",1,"{(1, 27, 15)}","{(7, 7, 3)}"
"(27, 21, 21, 0)",2,"{(27, 21)}","{(4, '?', 5)}"
"(27, 27, 1, 0)",2,"{(1, 27)}","{('?', '?', 1)}"
"(27, 27, 2, 0)",1,"{(2, 27)}","{('?', 6, '?')}"
"(27, 27, 3, 0)",1,"{(3, 27)}","{('?', 7, 4)}"
"(27, 27, 21, 0)",2,"{(27, 21)}","{(4, '?', '?')}"
"(27, 27, 27, 0)",3,"{(27,)}","{('?', '?', '?')}"
