dataset,run,value,hierarchy_level,condition
"(5,4)",1,0.8789072919547893,2,mixed
"(5,4)",1,0.8522892127592242,3,mixed
"(5,4)",1,0.8334294144563973,4,mixed
"(3,4)",2,0.9626943878434941,0,mixed
"(3,4)",2,0.924292005106815,1,mixed
"(3,4)",2,0.9130851800536538,2,mixed
"(3,8)",2,0.889126151076827,0,mixed
"(3,8)",2,0.8953955936909129,1,mixed
"(3,8)",2,0.8790334196149212,2,mixed
"(3,16)",2,0.8402969364599164,0,mixed
"(3,16)",2,0.8367667675539402,1,mixed
"(3,16)",2,0.7967142044239232,2,mixed
"(4,4)",2,0.8785077790541456,0,mixed
"(4,4)",2,0.9194789032783369,1,mixed
"(4,4)",2,0.9071376145023058,2,mixed
"(4,4)",2,0.8883421279618037,3,mixed
"(4,8)",2,0.8888478686747641,0,mixed
"(4,8)",2,0.8763969937754763,1,mixed
"(4,8)",2,0.8573968019910378,2,mixed
"(4,8)",2,0.8357677868253921,3,mixed
"(5,4)",2,0.8936150412494303,0,mixed
"(5,4)",2,0.9073694166770903,1,mixed
"(5,4)",2,0.9165389665352336,2,mixed
"(5,4)",2,0.9007440180893865,3,mixed
"(5,4)",2,0.8909960326293841,4,mixed
"(3,4)",3,0.9504481690956349,0,mixed
"(3,4)",3,0.9074039922922904,1,mixed
"(3,4)",3,0.8856052060031535,2,mixed
"(3,8)",3,0.9145206453541824,0,mixed
"(3,8)",3,0.8826599205711425,1,mixed
"(3,8)",3,0.8639954362194164,2,mixed
"(3,16)",3,0.8014889991815329,0,mixed
"(3,16)",3,0.8162404832072466,1,mixed
"(3,16)",3,0.7823792902517274,2,mixed
"(4,4)",3,0.923319493378727,0,mixed
"(4,4)",3,0.9390360880125428,1,mixed
"(4,4)",3,0.938731018473336,2,mixed
"(4,4)",3,0.9085873549534556,3,mixed
"(4,8)",3,0.8965616124502875,0,mixed
"(4,8)",3,0.886114360267946,1,mixed
"(4,8)",3,0.8781221081602743,2,mixed
"(4,8)",3,0.8593023440892978,3,mixed
"(5,4)",3,0.907411893883822,0,mixed
"(5,4)",3,0.899930358266235,1,mixed
"(5,4)",3,0.8959516309592702,2,mixed
"(5,4)",3,0.8754307052232229,3,mixed
"(5,4)",3,0.8580262316426767,4,mixed
"(3,4)",4,0.9422019192300911,0,mixed
"(3,4)",4,0.9457617159470556,1,mixed
"(3,4)",4,0.9117649399237202,2,mixed
"(3,8)",4,0.9209201863732802,0,mixed
"(3,8)",4,0.9112231768467917,1,mixed
"(3,8)",4,0.9019570140709128,2,mixed
"(3,16)",4,0.8018967126808824,0,mixed
"(3,16)",4,0.8128377223489618,1,mixed
"(3,16)",4,0.7763908874389849,2,mixed
"(4,4)",4,0.8768254955953025,0,mixed
"(4,4)",4,0.9236581417236477,1,mixed
"(4,4)",4,0.9318887256250362,2,mixed
"(4,4)",4,0.9065077795461587,3,mixed
"(4,8)",4,0.893438072820143,0,mixed
"(4,8)",4,0.9073202810594481,1,mixed
"(4,8)",4,0.897105806846477,2,mixed
"(4,8)",4,0.8754091017827046,3,mixed
"(5,4)",4,0.8084502393965084,0,mixed
"(5,4)",4,0.8811076874671409,1,mixed
"(5,4)",4,0.8822680637638254,2,mixed
"(5,4)",4,0.866573482153824,3,mixed
"(5,4)",4,0.8663835744850061,4,mixed
"(3,4)",0,1.0,0,coarse
"(3,4)",0,0.7376964107296053,1,coarse
"(3,4)",0,0.6516742630469774,2,coarse
"(3,8)",0,0.9700003862028846,0,coarse
"(3,8)",0,0.7017296679376982,1,coarse
"(3,8)",0,0.5304561750636185,2,coarse
"(3,16)",0,0.8862855676728552,0,coarse
"(3,16)",0,0.7021026255039801,1,coarse
"(3,16)",0,0.534743940309204,2,coarse
"(4,4)",0,0.9950675442018414,0,coarse
"(4,4)",0,0.7201646163699252,1,coarse
"(4,4)",0,0.6014590032393746,2,coarse
"(4,4)",0,0.5982695858403417,3,coarse
"(4,8)",0,0.9180804186252731,0,coarse
"(4,8)",0,0.7256419072598659,1,coarse
"(4,8)",0,0.6100614405322123,2,coarse
"(4,8)",0,0.5771946882583622,3,coarse
"(5,4)",0,0.8515508174400102,0,coarse
"(5,4)",0,0.73214833000726,1,coarse
"(5,4)",0,0.668271896253546,2,coarse
"(5,4)",0,0.6559341010345903,3,coarse
"(5,4)",0,0.6746795057081059,4,coarse
"(3,4)",1,1.0,0,coarse
"(3,4)",1,0.7126038217864078,1,coarse
"(3,4)",1,0.6259286216493862,2,coarse
"(3,8)",1,0.9683635338997059,0,coarse
"(3,8)",1,0.7098290046320624,1,coarse
"(3,8)",1,0.5350802967043269,2,coarse
"(3,16)",1,0.9200500183714795,0,coarse
"(3,16)",1,0.6921475548090745,1,coarse
"(3,16)",1,0.5263651319609692,2,coarse
"(4,4)",1,0.9563095278476675,0,coarse
"(4,4)",1,0.7372069774208323,1,coarse
"(4,4)",1,0.6249943693633806,2,coarse
"(4,4)",1,0.6341521076201526,3,coarse
